station_id,administrative_level_1,administrative_level_2,elevation,latitude,longitude,name,status
87211,Catamarca,Tinogasta,1201,-28.0673,-67.5653,Tinogasta,N
87466,Córdoba,Marcos Juárez,110,-32.68,-62.12,Marcos Juárez INTA,N
87180,Misiones,Leandro N. Alem,270,-27.65,-55.43,Cerro Azul INTA,N
87829,Chubut,Rawson,10,-43.23,-65.3,Trelew INTA,N
87281,Corrientes,Mercedes,107,-29.226,-58.0857,Mercedes Aero (Ctes.),N
87685,Buenos Aires,Laprida,212,-37.57,-60.77,Laprida,N
87532,La Pampa,Maracó,145,-35.6882,-63.7595,General Pico Aero,N
87548,Buenos Aires,Junín,81,-34.5525,-60.9313,Junín Aero,N
87416,Mendoza,San Martín,653,-33.0732,-68.4649,San Martín (Mza.),N
87568,Buenos Aires,Tigre,4,-34.48,-58.62,Don Torcuato Aero,N
87596,Buenos Aires,Magdalena,22,-35.3512,-57.2925,Punta Indio (BA),N
87349,Córdoba,Rió Segundo,338,-31.6681,-63.882,Pilar Obs.,N
87344,Córdoba,Colón,474,-31.2966,-64.2119,Córdoba Aero,N
87393,Corrientes,Monte Caseros,54,-30.2617,-57.639,Monte Caseros Aero,N
87360,Santa Fe,Castellanos,59,-31.2775,-61.5095,Rafaela Aero,N
87420,Mendoza,Capital,827,-32.8948,-68.8728,Mendoza Obs.,N
87320,La Rioja,Chamical,461,-30.3478,-66.2967,Chamical Aero,N
87008,Jujuy,Cochinoca,3484,-22.83,-65.85,Abra Pampa INTA,N
87484,Buenos Aires,Pergamino,65,-33.93,-60.55,Pergamino INTA,N
87345,Córdoba,Capital,426,-31.4208,-64.1983,Córdoba Obs.,N
87007,Jujuy,Yavi,3459,-22.1033,-65.6008,La Quiaca Obs.,N
87765,Río Negro,Bariloche,840,-41.1475,-71.1643,Bariloche Aero,N
87683,Buenos Aires,Coronel Pringles,247,-38.0043,-61.33,Coronel Pringles Aero,N
87736,Río Negro,Pichi Mahuida,79,-38.9911,-64.0872,Río Colorado,N
87178,Misiones,Capital,125,-27.391,-55.967,Posadas Aero,N
87493,Entre Ríos,Uruguay,25,-32.48,-58.23,Concepción del Uruguay INTA,N
87643,Buenos Aires,Olavarría,166,-36.8906,-60.2228,Olavarría Aero,N
9987013,Córdoba,Punilla,984,-30.86,-64.52,Capilla del Monte INTA,N
87131,Santiago del Estero,Silípica,169,-28.23,-64.15,La María INTA,N
87270,Santa Fe,General Obligado,53,-29.2051,-59.6934,Reconquista Aero,N
9987006,La Pampa,Maracó,143,-35.67,-63.75,General Pico INTA,N
87912,Santa Cruz,Corpen Aike,111,-50.0218,-68.5789,Puerto Santa Cruz Aero,N
87187,Misiones,Oberá,303,-27.4837,-55.1317,Oberá Aero,N
87904,Santa Cruz,Lago Argentino,204,-50.2846,-72.0515,El Calafate Aero,N
87016,Salta,Orán,357,-23.1547,-64.3281,Orán Aero,N
87166,Corrientes,Capital,62,-27.4498,-58.7597,Corrientes Aero,N
87791,Río Negro,Adolfo Alsina,7,-40.8635,-63.007,Viedma Aero,N
87686,Buenos Aires,Tres Arroyos,120,-38.32,-60.25,Barrow INTA,N
87322,La Rioja,Rosario Vera Peñaloza,658,-31.3316,-66.5886,Chepes,N
87909,Santa Cruz,Magallanes,62,-49.3082,-67.8032,San Julián Aero,N
87550,Buenos Aires,Nueve de Julio,76,-35.439,-60.8819,Nueve de Julio,N
9987002,Catamarca,Valle Viejo,525,-28.48,-65.73,Catamarca INTA (Sumalao),N
87395,Entre Ríos,Concordia,38,-31.3022,-58.0015,Concordia Aero,N
87539,Buenos Aires,Trenque Lauquen,95,-35.9692,-62.7262,Trenque Lauquen,N
87043,Jujuy,Palpalá,1302,-24.1786,-65.3263,Jujuy Univ. Nac.,N
87155,Chaco,San Fernando,52,-27.4389,-59.046,Resistencia Aero,N
87534,Córdoba,Presidente Roque Sáenz Peña,137,-34.1278,-63.3676,Laboulaye Aero,N
9987012,Santa Fe,Rosario,50,-33.02,-60.88,Zavalla U.N. Rosario,N
87289,Corrientes,Paso de los Libres,70,-29.6893,-57.1485,Paso de los Libres Aero,N
87453,Córdoba,Rió Cuarto,421,-33.0955,-64.277,Río Cuarto Aero,N
87244,Córdoba,Rió Seco,341,-29.9058,-63.7276,Villa María del Río Seco,N
87385,Entre Ríos,Villaguay,43,-31.85,-59.08,Villaguay Aero,N
87715,Neuquén,Confluencia,271,-38.952,-68.1367,Neuquén Aero,N
9987000,Río Negro,General Roca,242,-39.02,-67.67,Alto Valle INTA,N
87147,Chaco,Comandante Fernández,90,-26.87,-60.45,Pres. Roque Sáenz Peña INTA,N
87356,Santa Fe,Castellanos,92,-30.9568,-61.5323,Sunchales Aero,N
87467,Córdoba,Marcos Juárez,114,-32.6797,-62.1505,Marcos Juárez Aero,N
87276,Corrientes,Bella Vista,70,-28.43,-58.92,Bella Vista INTA,N
87573,Buenos Aires,Merlo,36,-34.6847,-58.7448,Merlo Aero,N
87373,Entre Ríos,Paraná,110,-31.83,-60.52,Paraná INTA,N
87417,Mendoza,San Carlos,940,-33.73,-69.12,La Consulta INTA,N
87637,Buenos Aires,Coronel Suárez,233,-37.4533,-61.8907,Coronel Suárez Aero,N
9987011,San Luis,General Pedernera,515,-33.72,-65.48,Villa Mercedes INTA,N
87222,Catamarca,Valle Viejo,454,-28.5935,-65.7553,Catamarca Aero,N
87800,Río Negro,Bariloche,337,-41.9541,-71.5339,El Bolsón Aero,N
87649,Buenos Aires,Benito Juárez,207,-37.7013,-59.7911,Benito Juárez Aero,N
87371,Santa Fe,La Capital,18,-31.7078,-60.8053,Sauce Viejo Aero,N
9987001,Buenos Aires,Puán,212,-37.85,-63.02,Bordenave INTA,N
87691,Buenos Aires,Balcarce,130,-37.75,-58.3,Balcarce INTA,N
87537,Buenos Aires,General Villegas,117,-34.92,-62.73,General Villegas INTA,N
87553,Buenos Aires,San Fernando,10,-34.455,-58.5845,San Fernando,N
87078,Formosa,Patiño,130,-24.7024,-60.5941,Las Lomitas,N
87046,JUJUY,El Carmen,905,-24.384,-65.0955,Jujuy Aero,N
87494,Buenos Aires,San Pedro,28,-33.68,-59.68,San Pedro INTA,N
87663,Buenos Aires,General Juan Madariaga,9,-37.2353,-57.0188,Villa Gesell Aero,N
87412,Mendoza,San Carlos,940,-33.7747,-69.0426,San Carlos (Mza.),N
87129,Santiago del Estero,Capital,199,-27.7548,-64.2998,Santiago del Estero Aero,N
87173,Corrientes,Ituzaingó,72,-27.5856,-56.6772,Ituzaingó,N
